Driver,Team,Circuit,PrevLapTime,AvgLast3Laps,AvgLast5Laps,TyreLife,Compound,Stint,LapNumber,Position,TrackStatus,InPit,AirTemp,TrackTemp,Humidity,Rainfall,NextLapTime
ALO,Aston Martin,Australian Grand Prix,94.076,94.98166666666667,95.91319999999999,13.0,INTERMEDIATE,4.0,13.0,10.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,92.664
ALO,Aston Martin,Australian Grand Prix,93.515,94.29699999999998,94.94539999999999,14.0,INTERMEDIATE,4.0,14.0,10.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,92.324
ALO,Aston Martin,Australian Grand Prix,92.664,93.41833333333334,94.2248,15.0,INTERMEDIATE,4.0,15.0,10.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,92.521
ALO,Aston Martin,Australian Grand Prix,92.324,92.83433333333335,93.5758,16.0,INTERMEDIATE,4.0,16.0,10.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,92.966
ALO,Aston Martin,Australian Grand Prix,92.521,92.503,93.02,17.0,INTERMEDIATE,4.0,17.0,10.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,92.698
ALO,Aston Martin,Australian Grand Prix,92.966,92.60366666666668,92.798,18.0,INTERMEDIATE,4.0,18.0,10.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,92.28
ALO,Aston Martin,Australian Grand Prix,92.698,92.72833333333334,92.6346,19.0,INTERMEDIATE,4.0,19.0,10.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,92.61
ALO,Aston Martin,Australian Grand Prix,92.28,92.64799999999998,92.5578,20.0,INTERMEDIATE,4.0,20.0,10.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,92.545
ALO,Aston Martin,Australian Grand Prix,92.61,92.52933333333333,92.61500000000001,21.0,INTERMEDIATE,4.0,21.0,10.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,93.282
ALO,Aston Martin,Australian Grand Prix,92.545,92.47833333333334,92.6198,22.0,INTERMEDIATE,4.0,22.0,10.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,92.51
ALO,Aston Martin,Australian Grand Prix,93.282,92.81233333333334,92.68299999999999,23.0,INTERMEDIATE,4.0,23.0,10.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,91.665
